Crop,State,Season,Quantity (kg),Price per kg (₹),Total Value (₹)
Maize,Gujarat,Rabi,3603,19.73,71076.36
Wheat,Gujarat,Kharif,2515,22.55,56720.88
Soybean,Gujarat,Rabi,2726,20.23,55138.2
Maize,Karnataka,Rabi,2917,33.47,97642.78
Soybean,Gujarat,Kharif,967,31.53,30491.21
Maize,Tamil Nadu,Rabi,1427,29.27,41762.55
Cotton,Maharashtra,Rabi,3488,22.81,79560.76
Rice,Gujarat,Rabi,3950,20.26,80015.29
Wheat,Gujarat,Kharif,904,33.05,29875.23
Rice,Gujarat,Rabi,4839,24.53,118695.18
Rice,Gujarat,Rabi,531,17.7,9396.98
Rice,Karnataka,Rabi,1810,21.91,39654.22
Wheat,Karnataka,Kharif,3555,21.61,76814.29
Wheat,Punjab,Rabi,1026,29.4,30164.97
Maize,Karnataka,Rabi,1510,21.27,32117.9
Soybean,Gujarat,Rabi,4289,28.54,122400.21
Cotton,Karnataka,Rabi,3667,24.26,88953.11
Soybean,Maharashtra,Rabi,1696,18.89,32037.43
Rice,Maharashtra,Kharif,4140,27.59,114215.49
Soybean,Gujarat,Rabi,951,24.78,23564.79
Soybean,Punjab,Rabi,2139,31.88,68199.36
Wheat,Punjab,Kharif,1333,17.14,22844.91
Rice,Maharashtra,Rabi,4969,25.07,124562.39
Rice,Punjab,Rabi,3944,30.03,118438.34
Soybean,Gujarat,Rabi,3207,24.17,77517.49
Wheat,Punjab,Kharif,1167,31.52,36786.23
Cotton,Tamil Nadu,Rabi,3699,32.29,119453.6
Maize,Tamil Nadu,Kharif,2122,21.86,46395.46
Rice,Tamil Nadu,Rabi,884,17.26,15254.35
Maize,Punjab,Rabi,1300,29.34,38143.67
Maize,Gujarat,Rabi,4470,25.02,111841.01
Wheat,Karnataka,Rabi,1517,17.82,27026.75
Soybean,Maharashtra,Kharif,4473,27.18,121570.52
Cotton,Gujarat,Kharif,3511,29.44,103362.48
Cotton,Gujarat,Rabi,3496,25.62,89568.33
Cotton,Gujarat,Rabi,4311,15.83,68227.96
Cotton,Punjab,Kharif,2534,28.07,71117.53
Maize,Gujarat,Kharif,2511,16.68,41880.62
Wheat,Tamil Nadu,Kharif,743,21.66,16094.78
Maize,Gujarat,Rabi,1750,15.32,26806.93
Rice,Maharashtra,Rabi,4055,21.71,88017.74
Soybean,Karnataka,Rabi,3604,22.68,81725.38
Cotton,Punjab,Rabi,4674,18.71,87434.79
Soybean,Karnataka,Rabi,2061,17.24,35523.78
Rice,Tamil Nadu,Kharif,4197,32.13,134867.34
Maize,Punjab,Rabi,1539,30.06,46268.3
Soybean,Maharashtra,Kharif,4047,23.43,94823.36
Rice,Punjab,Rabi,4249,16.37,69557.13
Wheat,Punjab,Kharif,2260,27.75,62705.4
Rice,Tamil Nadu,Rabi,3061,27.69,84762.44
Wheat,Gujarat,Kharif,3486,29.1,101442.04
Maize,Maharashtra,Kharif,3096,34.1,105586.23
Maize,Maharashtra,Kharif,1381,33.52,46290.5
Wheat,Karnataka,Rabi,3179,31.19,99144.83
Cotton,Punjab,Kharif,3180,24.34,77404.59
Wheat,Maharashtra,Kharif,2695,21.47,57859.45
Soybean,Karnataka,Rabi,2011,28.73,57770.1
Maize,Tamil Nadu,Kharif,1439,34.06,49019.25
Cotton,Maharashtra,Rabi,3300,26.98,89038.32
Wheat,Punjab,Rabi,2433,32.5,79079.67
Wheat,Karnataka,Rabi,3558,32.94,117189.91
Soybean,Karnataka,Kharif,3498,16.99,59428.23
Soybean,Karnataka,Kharif,1750,23.12,40453.05
Soybean,Gujarat,Kharif,1903,15.19,28898.81
Soybean,Punjab,Kharif,1899,32.56,61825.88
Rice,Karnataka,Rabi,2370,26.0,61624.86
Cotton,Tamil Nadu,Kharif,2621,17.88,46873.0
Rice,Gujarat,Kharif,3984,20.23,80606.13
Rice,Karnataka,Rabi,4475,20.95,93768.23
Rice,Tamil Nadu,Rabi,3634,28.6,103927.87
Maize,Punjab,Rabi,2475,28.39,70272.36
Rice,Gujarat,Kharif,948,17.79,16864.17
Rice,Maharashtra,Rabi,1715,34.04,58372.29
Soybean,Punjab,Kharif,2661,34.6,92061.78
Rice,Maharashtra,Rabi,4558,24.99,113883.27
Rice,Maharashtra,Kharif,1804,25.9,46729.69
Rice,Gujarat,Kharif,1073,27.28,29274.6
Maize,Maharashtra,Kharif,3596,25.47,91602.73
Maize,Gujarat,Kharif,1856,31.1,57712.33
Wheat,Gujarat,Rabi,2880,34.84,100339.75
Maize,Gujarat,Rabi,1880,28.28,53173.0
Wheat,Karnataka,Rabi,2608,18.37,47917.65
Soybean,Gujarat,Kharif,3036,27.35,83045.55
Wheat,Tamil Nadu,Kharif,1345,22.5,30262.0
Soybean,Punjab,Kharif,2951,31.18,92000.92
Maize,Gujarat,Kharif,4854,24.62,119487.05
Rice,Karnataka,Rabi,2036,16.0,32580.26
Cotton,Karnataka,Kharif,2637,17.47,46070.93
Cotton,Tamil Nadu,Rabi,2256,18.45,41621.21
Wheat,Tamil Nadu,Rabi,2488,22.9,56971.83
Cotton,Gujarat,Kharif,3046,18.52,56403.28
Rice,Gujarat,Kharif,2168,33.41,72428.47
Soybean,Maharashtra,Rabi,1701,18.87,32103.27
Maize,Punjab,Kharif,1195,34.38,41085.99
Rice,Punjab,Rabi,2649,17.46,46245.97
Maize,Punjab,Rabi,4089,28.52,116628.03
Maize,Punjab,Rabi,4071,28.0,113988.56
Cotton,Punjab,Rabi,3653,27.8,101551.26
Maize,Punjab,Kharif,2918,31.98,93327.78
Rice,Karnataka,Kharif,1483,30.75,45601.17
Cotton,Gujarat,Kharif,1634,34.78,56836.4
Soybean,Punjab,Kharif,3343,30.78,102907.12
Maize,Punjab,Rabi,4396,16.19,71186.18
Maize,Maharashtra,Kharif,1497,27.5,41160.63
Cotton,Maharashtra,Kharif,779,26.1,20328.26
Maize,Punjab,Kharif,798,17.77,14178.16
Wheat,Karnataka,Kharif,1870,28.31,52930.81
Cotton,Maharashtra,Kharif,4811,32.83,157952.55
Soybean,Punjab,Rabi,3334,26.23,87452.49
Wheat,Gujarat,Kharif,3363,33.71,113381.51
Wheat,Karnataka,Rabi,3091,33.47,103447.02
Soybean,Maharashtra,Rabi,1819,32.52,59145.57
Rice,Gujarat,Rabi,618,34.45,21289.76
Rice,Karnataka,Kharif,2084,18.61,38779.27
Soybean,Punjab,Rabi,1460,22.72,33164.5
Rice,Tamil Nadu,Kharif,1575,33.58,52883.9
Soybean,Karnataka,Kharif,4492,22.46,100904.49
Maize,Tamil Nadu,Rabi,584,16.53,9654.91
Wheat,Gujarat,Rabi,2673,26.53,70920.81
Cotton,Punjab,Rabi,2748,24.5,67321.21
Wheat,Karnataka,Rabi,568,19.13,10863.6
Cotton,Punjab,Rabi,2498,26.01,64965.45
Rice,Maharashtra,Rabi,4127,34.59,142735.13
Soybean,Karnataka,Kharif,3719,25.08,93272.31
Wheat,Tamil Nadu,Kharif,4403,20.95,92227.7
Maize,Tamil Nadu,Rabi,3461,15.99,55326.52
Cotton,Karnataka,Kharif,2593,32.22,83557.34
Wheat,Maharashtra,Rabi,1149,29.62,34029.46
Soybean,Tamil Nadu,Kharif,792,20.01,15848.44
Rice,Tamil Nadu,Kharif,2796,30.53,85349.92
Rice,Punjab,Rabi,3439,30.74,105701.38
Rice,Maharashtra,Kharif,2191,32.1,70325.95
Cotton,Karnataka,Rabi,3155,22.4,70683.11
Cotton,Karnataka,Rabi,1505,32.68,49188.98
Cotton,Karnataka,Kharif,4152,20.89,86737.65
Cotton,Maharashtra,Rabi,4227,34.35,145184.39
Cotton,Punjab,Kharif,2575,26.02,67006.37
Maize,Maharashtra,Rabi,2710,30.53,82730.87
Maize,Punjab,Kharif,1412,25.68,36262.94
Cotton,Gujarat,Rabi,4255,23.45,99783.86
Cotton,Maharashtra,Rabi,1516,23.38,35438.76
Wheat,Karnataka,Kharif,2015,21.99,44308.97
Cotton,Tamil Nadu,Rabi,3975,31.54,125380.08
Wheat,Tamil Nadu,Kharif,894,24.47,21876.73
Cotton,Karnataka,Rabi,3411,18.77,64008.43
Maize,Gujarat,Rabi,1010,29.06,29352.31
Cotton,Karnataka,Kharif,4851,15.8,76652.15
Maize,Karnataka,Kharif,2564,25.51,65395.45
Cotton,Maharashtra,Rabi,1225,19.06,23353.32
Wheat,Karnataka,Rabi,2005,19.58,39266.52
Soybean,Gujarat,Rabi,4247,17.31,73535.39
Soybean,Punjab,Rabi,3886,23.91,92904.49
Wheat,Maharashtra,Kharif,2483,32.7,81192.82
Rice,Karnataka,Kharif,2184,34.13,74531.43
